,index,log-age-yr,Vmag,Kmag,V-F225W,V-F336W,V-F438W,V-F547M,V-F555W,V-F606W,V-F625W,V-F656N,V-F657N,V-F658N,V-F814W,log Nly,Mt/Lb,Mt/Lv,Mt/Lk,Z,Library
0,0,5.0,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
1,1,5.149989,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
2,2,5.200002,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
3,3,5.250005,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
4,4,5.300008,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
5,5,5.349996,1.856,2.6119,3.2444,2.1235,0.3324,-0.0021,0.0603,-0.0299,-0.1082,0.1078,-0.0684,-0.0252,-0.2956,46.696,0.0264,0.0664,0.5355,0.0001,BaSeL
6,6,5.400002,1.8552,2.611,3.2436,2.1231,0.3323,-0.0021,0.0602,-0.0299,-0.1081,0.1079,-0.0683,-0.0251,-0.2955,46.6919,0.0263,0.0664,0.5351,0.0001,BaSeL
7,7,5.450003,1.8518,2.6082,3.2434,2.1229,0.3321,-0.0021,0.0602,-0.0299,-0.1081,0.1081,-0.0682,-0.025,-0.2955,46.6942,0.0263,0.0662,0.5337,0.0001,BaSeL
8,8,5.500003,1.8474,2.6045,3.243,2.1227,0.3319,-0.0021,0.0602,-0.0298,-0.1081,0.1084,-0.0681,-0.0249,-0.2956,46.6974,0.0262,0.0659,0.5319,0.0001,BaSeL
9,9,5.550008,1.8425,2.6004,3.2427,2.1224,0.3316,-0.0021,0.0601,-0.0298,-0.108,0.1086,-0.0679,-0.0247,-0.2957,46.7012,0.026,0.0656,0.5299,0.0001,BaSeL
10,10,5.600003,1.85,2.6058,3.2427,2.122,0.3317,-0.0021,0.0601,-0.0298,-0.1079,0.1085,-0.0679,-0.0247,-0.2952,46.6961,0.0262,0.0661,0.5325,0.0001,BaSeL
11,11,5.650006,1.8512,2.6064,3.2422,2.1217,0.3316,-0.0021,0.0601,-0.0298,-0.1079,0.1085,-0.0678,-0.0246,-0.2949,46.6935,0.0263,0.0661,0.5328,0.0001,BaSeL
12,12,5.700002,1.8473,2.6025,3.2418,2.1208,0.3311,-0.0021,0.06,-0.0297,-0.1077,0.1089,-0.0675,-0.0243,-0.2947,46.6997,0.0262,0.0659,0.5309,0.0001,BaSeL
13,13,5.749999,1.8426,2.5979,3.2417,2.1199,0.3306,-0.0021,0.0599,-0.0297,-0.1075,0.1094,-0.0672,-0.0239,-0.2944,46.7089,0.0261,0.0656,0.5286,0.0001,BaSeL
14,14,5.800002,1.8377,2.5929,3.2414,2.1187,0.33,-0.0021,0.0598,-0.0296,-0.1073,0.11,-0.0668,-0.0235,-0.294,46.7175,0.026,0.0653,0.5262,0.0001,BaSeL
15,15,5.850003,1.8144,2.5675,3.2096,2.0871,0.3162,-0.0021,0.0578,-0.0281,-0.1033,0.1186,-0.0599,-0.0161,-0.2866,46.7386,0.0257,0.0639,0.514,0.0001,BaSeL
16,16,5.900001,1.8197,2.5721,3.232,2.1061,0.3242,-0.0021,0.0588,-0.0289,-0.1054,0.1141,-0.0635,-0.0199,-0.2902,46.7467,0.0257,0.0642,0.5162,0.0001,BaSeL
17,17,5.950005,1.8496,2.5981,3.2806,2.148,0.3425,-0.0021,0.0613,-0.0306,-0.11,0.1033,-0.0718,-0.0289,-0.2981,46.743,0.026,0.066,0.5287,0.0001,BaSeL
18,18,6.0,1.8007,2.555,3.2463,2.1185,0.3289,-0.0021,0.0594,-0.0293,-0.1066,0.1122,-0.0654,-0.0219,-0.2929,46.7556,0.0251,0.0631,0.5081,0.0001,BaSeL
19,19,6.019988,1.7754,2.5328,3.2245,2.0999,0.3206,-0.0021,0.0583,-0.0286,-0.1045,0.1174,-0.0616,-0.0177,-0.2897,46.7578,0.0247,0.0617,0.4978,0.0001,BaSeL
20,20,6.040009,1.7724,2.5303,3.2313,2.1058,0.3229,-0.0021,0.0586,-0.0288,-0.1052,0.1161,-0.0627,-0.0188,-0.2909,46.762,0.0246,0.0615,0.4967,0.0001,BaSeL
21,21,6.060018,1.7729,2.5308,3.2399,2.1133,0.3261,-0.0021,0.059,-0.0291,-0.106,0.1143,-0.0642,-0.0204,-0.2924,46.7634,0.0245,0.0615,0.4969,0.0001,BaSeL
22,22,6.080013,1.7775,2.5347,3.2507,2.1227,0.3302,-0.0021,0.0596,-0.0295,-0.1071,0.1119,-0.0661,-0.0224,-0.2942,46.7617,0.0246,0.0618,0.4987,0.0001,BaSeL
23,23,6.099991,1.7871,2.5426,3.2664,2.1362,0.3361,-0.0021,0.0604,-0.0301,-0.1086,0.1084,-0.0687,-0.0253,-0.2967,46.7569,0.0246,0.0623,0.5024,0.0001,BaSeL
24,24,6.120014,1.741,2.502,3.2314,2.1064,0.3225,-0.0021,0.0585,-0.0288,-0.1051,0.1172,-0.0624,-0.0183,-0.2914,46.765,0.0239,0.0598,0.4839,0.0001,BaSeL
25,25,6.140005,1.7231,2.4862,3.2298,2.1052,0.3215,-0.0021,0.0584,-0.0287,-0.1049,0.1182,-0.0618,-0.0176,-0.2914,46.7731,0.0235,0.0588,0.4769,0.0001,BaSeL
26,26,6.159988,1.7179,2.4815,3.2388,2.113,0.3247,-0.0021,0.0588,-0.029,-0.1057,0.1167,-0.0632,-0.019,-0.293,46.7773,0.0234,0.0585,0.4749,0.0001,BaSeL
27,27,6.180011,1.7151,2.4787,3.2487,2.1217,0.3283,-0.0021,0.0592,-0.0294,-0.1066,0.1148,-0.0647,-0.0207,-0.2947,46.7775,0.0232,0.0583,0.4736,0.0001,BaSeL
28,28,6.200002,1.7097,2.4736,3.2536,2.1263,0.3301,-0.0021,0.0595,-0.0296,-0.1071,0.114,-0.0655,-0.0215,-0.2956,46.7735,0.0231,0.0581,0.4714,0.0001,BaSeL
29,29,6.220004,1.6773,2.4445,3.2372,2.1125,0.3236,-0.0021,0.0586,-0.029,-0.1056,0.1182,-0.0626,-0.0182,-0.2933,46.7799,0.0225,0.0563,0.4589,0.0001,BaSeL
30,30,6.24,1.6708,2.4376,3.2461,2.1193,0.3264,-0.0021,0.0589,-0.0292,-0.1062,0.1169,-0.0637,-0.0193,-0.2944,46.788,0.0223,0.056,0.456,0.0001,BaSeL
31,31,6.26,1.6644,2.4306,3.258,2.129,0.3303,-0.0021,0.0594,-0.0296,-0.1071,0.1151,-0.0652,-0.021,-0.2961,46.7932,0.0221,0.0557,0.4531,0.0001,BaSeL
32,32,6.280009,1.6512,2.4174,3.2642,2.1338,0.3321,-0.0021,0.0596,-0.0297,-0.1075,0.1145,-0.0658,-0.0216,-0.2969,46.7959,0.0218,0.055,0.4476,0.0001,BaSeL
33,33,6.300008,1.6289,2.3962,3.2704,2.1387,0.3339,-0.002,0.0598,-0.0299,-0.108,0.1139,-0.0666,-0.0223,-0.298,46.8054,0.0213,0.0539,0.4389,0.0001,BaSeL
34,34,6.320001,1.6195,2.386,3.2884,2.1538,0.3403,-0.002,0.0606,-0.0306,-0.1097,0.1105,-0.0695,-0.0254,-0.3009,46.8061,0.021,0.0534,0.4348,0.0001,BaSeL
35,35,6.340008,1.6146,2.3795,3.3173,2.1785,0.351,-0.002,0.0621,-0.0316,-0.1126,0.1044,-0.0744,-0.0307,-0.3058,46.8056,0.0207,0.0532,0.4322,0.0001,BaSeL
36,36,6.360006,1.6068,2.3702,3.3567,2.2126,0.3661,-0.002,0.0642,-0.0332,-0.1168,0.0957,-0.0815,-0.0383,-0.3129,46.8081,0.0203,0.0528,0.4285,0.0001,BaSeL
37,37,6.379994,1.6093,2.3691,3.4142,2.2625,0.389,-0.002,0.0674,-0.0356,-0.1233,0.0816,-0.0929,-0.0505,-0.3238,46.8039,0.0199,0.0529,0.4281,0.0001,BaSeL
38,38,6.400002,1.5878,2.3462,3.4549,2.2979,0.4057,-0.002,0.07,-0.0375,-0.1287,0.0702,-0.1021,-0.0604,-0.3327,46.8009,0.0192,0.0517,0.4179,0.0001,BaSeL
39,39,6.420005,1.5527,2.3108,3.4865,2.3253,0.4191,-0.0019,0.0721,-0.0393,-0.1335,0.0603,-0.1103,-0.0691,-0.3403,46.796,0.0183,0.0499,0.4032,0.0001,BaSeL
40,40,6.439995,1.5147,2.2715,3.5292,2.3627,0.4379,-0.0019,0.0753,-0.0418,-0.1406,0.0453,-0.1224,-0.0822,-0.3512,46.785,0.0173,0.0481,0.3877,0.0001,BaSeL
41,41,6.459995,1.407,2.1659,3.5478,2.378,0.449,-0.0018,0.0781,-0.0442,-0.1475,0.0309,-0.1338,-0.0945,-0.3599,46.7569,0.0155,0.0434,0.3507,0.0001,BaSeL
42,42,6.480007,0.5186,0.762,2.8042,1.7338,0.2475,-0.0045,0.0351,0.0043,-0.0199,0.167,0.0467,0.0776,-0.0538,46.7175,0.0082,0.0191,0.096,0.0001,BaSeL
43,43,6.500003,-0.7408,-1.6549,1.5205,0.6222,-0.2227,-0.0097,-0.0447,0.0913,0.1793,0.4633,0.3358,0.3715,0.4735,46.6765,0.0039,0.006,0.0103,0.0001,BaSeL
44,44,6.519999,-0.8685,-1.8503,1.3501,0.4855,-0.2695,-0.0101,-0.0512,0.0981,0.1939,0.4852,0.3565,0.3927,0.5084,46.6339,0.0036,0.0053,0.0086,0.0001,BaSeL
45,45,6.540004,-0.8891,-1.9411,1.2729,0.4184,-0.304,-0.0107,-0.0559,0.1041,0.2062,0.5055,0.3747,0.4116,0.5379,46.5888,0.0036,0.0052,0.0079,0.0001,BaSeL
46,46,6.560002,-0.8941,-2.0346,1.2,0.3513,-0.3473,-0.0114,-0.0618,0.112,0.2221,0.5324,0.3983,0.4362,0.5752,46.5442,0.0037,0.0051,0.0072,0.0001,BaSeL
47,47,6.580001,-0.8785,-2.1308,1.1298,0.2806,-0.4049,-0.0125,-0.0694,0.1227,0.2431,0.5686,0.4298,0.4692,0.6236,46.4987,0.0039,0.0052,0.0066,0.0001,BaSeL
48,48,6.600003,-0.786,-2.14,1.1463,0.2747,-0.4537,-0.0136,-0.0758,0.1326,0.2622,0.6029,0.4588,0.4997,0.6666,46.4592,0.0045,0.0056,0.0065,0.0001,BaSeL
49,49,6.620001,-0.585,-1.9515,1.3158,0.4006,-0.437,-0.0137,-0.0739,0.1321,0.2606,0.6035,0.4576,0.499,0.6647,46.4196,0.0053,0.0068,0.0077,0.0001,BaSeL
50,50,6.640004,-0.4777,-1.812,1.4046,0.4763,-0.4114,-0.0133,-0.0707,0.1283,0.2529,0.5927,0.447,0.4882,0.6484,46.3806,0.0057,0.0074,0.0087,0.0001,BaSeL
51,51,6.660002,-0.3448,-1.6339,1.5211,0.5765,-0.3751,-0.0128,-0.0659,0.1229,0.2417,0.5769,0.4315,0.4725,0.6248,46.3383,0.0062,0.0084,0.0103,0.0001,BaSeL
52,52,6.68,-0.1347,-1.3544,1.7201,0.7468,-0.3134,-0.0121,-0.0575,0.1137,0.2226,0.5503,0.4052,0.4459,0.5852,46.2958,0.0071,0.0101,0.0132,0.0001,BaSeL
53,53,6.700002,0.2207,-0.8579,2.0765,1.0573,-0.1908,-0.0108,-0.0395,0.0947,0.1815,0.4938,0.3488,0.3888,0.4995,46.256,0.0088,0.014,0.0208,0.0001,BaSeL
54,54,6.720002,0.8642,0.2539,2.722,1.6437,0.0945,-0.0073,0.0099,0.0407,0.0595,0.3234,0.1772,0.2157,0.2256,46.2143,0.0124,0.0252,0.0577,0.0001,BaSeL
55,55,6.739999,1.4045,1.9675,3.2197,2.1134,0.3774,-0.0031,0.0706,-0.032,-0.1197,0.0604,-0.0895,-0.0536,-0.2669,46.1716,0.0158,0.0413,0.2786,0.0001,BaSeL
56,56,6.76,1.4773,2.0906,3.2435,2.134,0.3862,-0.0029,0.0726,-0.0346,-0.1263,0.0502,-0.1,-0.0642,-0.285,46.1264,0.0167,0.044,0.3108,0.0001,BaSeL
57,57,6.78,1.5306,2.1417,3.2436,2.1336,0.3858,-0.0028,0.0726,-0.0347,-0.1264,0.0491,-0.1006,-0.0649,-0.2847,46.0805,0.0174,0.046,0.3245,0.0001,BaSeL
58,58,6.800002,1.593,2.2018,3.2452,2.1346,0.3857,-0.0028,0.0725,-0.0348,-0.1266,0.0477,-0.1013,-0.0658,-0.2845,46.0341,0.0184,0.0485,0.3416,0.0001,BaSeL
59,59,6.819998,1.67,2.2769,3.2526,2.1398,0.3867,-0.0027,0.0726,-0.0351,-0.1271,0.0455,-0.1028,-0.0675,-0.2851,45.9888,0.0197,0.0519,0.3646,0.0001,BaSeL
60,60,6.839999,1.7596,2.3645,3.2629,2.1467,0.388,-0.0026,0.0727,-0.0355,-0.1278,0.0426,-0.1047,-0.0696,-0.2861,45.94,0.0212,0.0561,0.3936,0.0001,BaSeL
61,61,6.860003,1.8062,2.4201,3.261,2.1452,0.3886,-0.0026,0.0731,-0.036,-0.1291,0.04,-0.107,-0.072,-0.2895,45.8841,0.0221,0.0583,0.4126,0.0001,BaSeL
62,62,6.880002,1.8249,2.433,3.2406,2.1283,0.3845,-0.0027,0.0727,-0.0354,-0.1276,0.0414,-0.1047,-0.07,-0.2859,45.8222,0.0225,0.0592,0.4164,0.0001,BaSeL
63,63,6.900001,1.8495,2.4518,3.2215,2.1123,0.3805,-0.0027,0.0723,-0.0348,-0.1261,0.0426,-0.1026,-0.068,-0.2824,45.7557,0.023,0.0604,0.4226,0.0001,BaSeL
64,64,6.919998,1.8813,2.4774,3.204,2.0974,0.3768,-0.0027,0.0719,-0.0343,-0.1247,0.0435,-0.1006,-0.0663,-0.279,45.6813,0.0237,0.062,0.4315,0.0001,BaSeL
65,65,6.939998,1.9223,2.5116,3.1888,2.0841,0.3734,-0.0028,0.0715,-0.0338,-0.1234,0.0441,-0.0989,-0.0648,-0.2757,45.6021,0.0247,0.0642,0.4441,0.0001,BaSeL
66,66,6.96,1.9742,2.5561,3.1771,2.0735,0.3705,-0.0028,0.0711,-0.0333,-0.1222,0.0444,-0.0975,-0.0637,-0.2726,45.5228,0.0259,0.0672,0.4614,0.0001,BaSeL
67,67,6.979999,2.0368,2.6114,3.1726,2.0682,0.3685,-0.0028,0.0708,-0.0331,-0.1213,0.044,-0.0967,-0.0632,-0.27,45.4467,0.0274,0.071,0.4842,0.0001,BaSeL
68,68,7.0,2.1165,2.6836,3.1785,2.0702,0.3678,-0.0027,0.0705,-0.033,-0.1208,0.0423,-0.0969,-0.0638,-0.2683,45.3725,0.0294,0.0762,0.5161,0.0001,BaSeL
69,69,7.019988,2.2006,2.7572,3.1808,2.0689,0.366,-0.0027,0.0701,-0.0327,-0.1196,0.0416,-0.096,-0.0632,-0.265,45.3004,0.0318,0.0821,0.5508,0.0001,BaSeL
70,70,7.040009,2.2402,2.7936,3.1636,2.0541,0.3624,-0.0027,0.0696,-0.0321,-0.1182,0.0423,-0.0942,-0.0617,-0.262,45.2222,0.033,0.0849,0.568,0.0001,BaSeL
71,71,7.060018,2.253,2.7896,3.1309,2.0278,0.3555,-0.0028,0.0686,-0.0308,-0.1148,0.047,-0.0888,-0.0564,-0.2537,45.1422,0.0335,0.0857,0.5643,0.0001,BaSeL
72,72,7.080013,2.2664,2.7854,3.0949,1.9993,0.3481,-0.003,0.0676,-0.0293,-0.1111,0.0521,-0.0829,-0.0507,-0.2449,45.0606,0.034,0.0865,0.5606,0.0001,BaSeL
73,73,7.099991,2.2798,2.7808,3.0552,1.9684,0.3402,-0.0032,0.0664,-0.0276,-0.1072,0.0578,-0.0766,-0.0445,-0.2357,44.9813,0.0346,0.0873,0.5566,0.0001,BaSeL
74,74,7.119981,2.2925,2.7753,3.0116,1.9348,0.3318,-0.0033,0.0652,-0.0259,-0.103,0.0639,-0.07,-0.0379,-0.226,44.8999,0.0352,0.0881,0.5523,0.0001,BaSeL
75,75,7.140005,2.3036,2.7685,2.9645,1.899,0.3231,-0.0035,0.0639,-0.0241,-0.0987,0.0703,-0.063,-0.0309,-0.2162,44.8194,0.0358,0.0888,0.5473,0.0001,BaSeL
76,76,7.159988,2.3285,2.777,2.9261,1.8704,0.3166,-0.0037,0.063,-0.0228,-0.0954,0.0745,-0.058,-0.0261,-0.2086,44.7418,0.0367,0.0906,0.5501,0.0001,BaSeL
77,77,7.180011,2.3637,2.7934,2.8894,1.8409,0.309,-0.0038,0.0617,-0.0212,-0.0914,0.0792,-0.052,-0.0204,-0.1993,44.6644,0.0381,0.0933,0.5569,0.0001,BaSeL
78,78,7.200002,2.389,2.8192,2.8666,1.8238,0.3054,-0.0039,0.0612,-0.0205,-0.0898,0.0809,-0.0496,-0.0181,-0.1965,44.5883,0.039,0.0952,0.5687,0.0001,BaSeL
79,79,7.220004,2.4006,2.8184,2.8331,1.7988,0.2995,-0.0041,0.0603,-0.0192,-0.0866,0.0854,-0.0447,-0.0132,-0.1895,44.5082,0.0395,0.0959,0.5663,0.0001,BaSeL
80,80,7.24,2.4126,2.8177,2.7973,1.7723,0.2932,-0.0042,0.0593,-0.0178,-0.083,0.0902,-0.0392,-0.0079,-0.182,44.4261,0.0401,0.0967,0.5639,0.0001,BaSeL
81,81,7.26,2.425,2.8169,2.7588,1.7441,0.2865,-0.0044,0.0581,-0.0163,-0.0792,0.0954,-0.0334,-0.0021,-0.174,44.3432,0.0406,0.0974,0.5615,0.0001,BaSeL
82,82,7.280009,2.4372,2.8157,2.7181,1.7144,0.2795,-0.0045,0.0569,-0.0146,-0.0751,0.1011,-0.0271,0.0041,-0.1654,44.2639,0.0412,0.0982,0.559,0.0001,BaSeL
83,83,7.300008,2.4604,2.8273,2.6848,1.6903,0.2742,-0.0046,0.0559,-0.0134,-0.072,0.1046,-0.0227,0.0084,-0.1589,44.1846,0.0422,0.0999,0.563,0.0001,BaSeL
84,84,7.320001,2.4732,2.8185,2.6348,1.6514,0.2634,-0.0048,0.0536,-0.0106,-0.0648,0.1139,-0.0121,0.0188,-0.144,44.1025,0.043,0.1008,0.5565,0.0001,BaSeL
85,85,7.340008,2.4565,2.7833,2.5715,1.6035,0.251,-0.0051,0.0509,-0.0074,-0.0566,0.1251,0.0001,0.0309,-0.1277,44.0142,0.0426,0.0989,0.5368,0.0001,BaSeL
86,86,7.360006,2.4322,2.7283,2.5026,1.552,0.2375,-0.0053,0.0478,-0.0037,-0.0471,0.138,0.0141,0.0449,-0.1081,43.9164,0.042,0.0963,0.5085,0.0001,BaSeL
87,87,7.379994,2.4108,2.6758,2.4335,1.5011,0.2242,-0.0056,0.0445,0.0001,-0.0372,0.151,0.0285,0.0591,-0.0876,43.8124,0.0416,0.0941,0.4827,0.0001,BaSeL
88,88,7.400002,2.3922,2.6256,2.3643,1.4507,0.2111,-0.0058,0.0411,0.0042,-0.0267,0.1643,0.0433,0.0737,-0.0663,43.7045,0.0412,0.0922,0.4593,0.0001,BaSeL
89,89,7.420005,2.3766,2.5776,2.2948,1.4006,0.1978,-0.006,0.0373,0.0084,-0.0156,0.1778,0.0586,0.0888,-0.0438,43.5967,0.0409,0.0906,0.4379,0.0001,BaSeL
90,90,7.439995,2.3634,2.5313,2.2276,1.3522,0.1846,-0.0062,0.0332,0.0129,-0.0039,0.1916,0.0745,0.1044,-0.0203,43.4942,0.0407,0.0891,0.4181,0.0001,BaSeL
91,91,7.462398,2.3529,2.4821,2.1528,1.2984,0.1695,-0.0064,0.0283,0.0182,0.0102,0.2077,0.0934,0.1229,0.0078,43.3904,0.0407,0.0879,0.3979,0.0001,BaSeL
92,92,7.477121,2.3488,2.4513,2.104,1.2632,0.1592,-0.0065,0.0247,0.022,0.0202,0.2188,0.1065,0.1357,0.0275,43.3295,0.0408,0.0874,0.3858,0.0001,BaSeL
93,93,7.491362,2.347,2.4227,2.0576,1.2295,0.149,-0.0067,0.0209,0.0259,0.0305,0.2299,0.1198,0.1487,0.0476,43.2779,0.0409,0.087,0.3748,0.0001,BaSeL
94,94,7.50515,2.3612,2.4124,2.0267,1.2062,0.1411,-0.0067,0.0177,0.0291,0.0391,0.2387,0.1307,0.1592,0.0648,43.2374,0.0416,0.0879,0.3703,0.0001,BaSeL
95,95,7.518514,2.3881,2.4257,2.0143,1.1967,0.1384,-0.0067,0.0165,0.0302,0.0422,0.2404,0.1341,0.1622,0.0715,43.1995,0.0427,0.0899,0.3739,0.0001,BaSeL
96,96,7.531479,2.4066,2.4435,1.9995,1.1865,0.1368,-0.0067,0.0159,0.0307,0.0436,0.2404,0.1353,0.1632,0.0742,43.1615,0.0434,0.0912,0.3792,0.0001,BaSeL
97,97,7.544068,2.4117,2.4387,1.9789,1.1725,0.1345,-0.0067,0.0154,0.0312,0.0449,0.2411,0.1368,0.1645,0.0777,43.1235,0.0435,0.0914,0.3764,0.0001,BaSeL
98,98,7.556303,2.4174,2.4348,1.9584,1.1587,0.1323,-0.0067,0.0149,0.0317,0.0462,0.2416,0.1382,0.1658,0.081,43.0856,0.0437,0.0916,0.374,0.0001,BaSeL
99,99,7.568202,2.4238,2.4317,1.9386,1.1452,0.1301,-0.0068,0.0144,0.0321,0.0473,0.2419,0.1394,0.1668,0.0842,43.0491,0.0439,0.0919,0.3719,0.0001,BaSeL
100,100,7.579783,2.4305,2.4294,1.9204,1.1326,0.1282,-0.0068,0.0139,0.0325,0.0484,0.242,0.1404,0.1677,0.0871,43.0154,0.0442,0.0922,0.37,0.0001,BaSeL
101,101,7.591064,2.4379,2.4278,1.9027,1.1203,0.1264,-0.0068,0.0135,0.0329,0.0493,0.2419,0.1413,0.1684,0.0899,42.9825,0.0444,0.0926,0.3685,0.0001,BaSeL
102,102,7.60206,2.4459,2.4271,1.8851,1.108,0.1247,-0.0068,0.0131,0.0332,0.0502,0.2417,0.1421,0.169,0.0927,42.9503,0.0447,0.093,0.3673,0.0001,BaSeL
103,103,7.628389,2.4686,2.4284,1.8446,1.0794,0.121,-0.0068,0.0122,0.0339,0.0522,0.2403,0.1435,0.1698,0.0989,42.8773,0.0455,0.0944,0.3654,0.0001,BaSeL
104,104,7.653213,2.4942,2.4339,1.8094,1.0534,0.118,-0.0068,0.0115,0.0343,0.0536,0.2378,0.1439,0.1697,0.1043,42.8189,0.0465,0.0961,0.3651,0.0001,BaSeL
105,105,7.676693,2.5237,2.4438,1.7772,1.0285,0.1156,-0.0067,0.0109,0.0345,0.0545,0.2341,0.1436,0.1687,0.1092,42.7691,0.0476,0.0981,0.3663,0.0001,BaSeL
106,106,7.69897,2.5739,2.477,1.7692,1.0193,0.1164,-0.0066,0.0113,0.0337,0.0529,0.2271,0.1396,0.1641,0.1095,42.7341,0.0496,0.1022,0.3757,0.0001,BaSeL
107,107,7.72016,2.6027,2.4856,1.7511,1.0074,0.1126,-0.0067,0.0106,0.0346,0.0548,0.2297,0.1424,0.1668,0.115,42.6968,0.0508,0.1044,0.3767,0.0001,BaSeL
108,108,7.740363,2.6023,2.4763,1.7209,0.988,0.1083,-0.0067,0.0097,0.0355,0.0572,0.2329,0.1457,0.1701,0.12,42.6624,0.0508,0.1039,0.3716,0.0001,BaSeL
109,109,7.756545,2.602,2.4593,1.6941,0.9707,0.1039,-0.0068,0.0088,0.0366,0.0596,0.2366,0.1492,0.1738,0.126,42.6308,0.0508,0.1036,0.365,0.0001,BaSeL
110,110,7.806546,2.6064,2.4074,1.6134,0.9192,0.0899,-0.0071,0.0062,0.0398,0.067,0.2481,0.1602,0.185,0.145,42.5275,0.0513,0.1034,0.3457,0.0001,BaSeL
111,111,7.856548,2.6209,2.3566,1.5276,0.8653,0.0745,-0.0074,0.0035,0.0432,0.0747,0.2607,0.1718,0.197,0.1659,42.403,0.0524,0.104,0.3277,0.0001,BaSeL
112,112,7.906545,2.6473,2.3072,1.4392,0.8106,0.0571,-0.0077,0.0006,0.047,0.0828,0.2748,0.1844,0.21,0.189,42.2505,0.0542,0.1059,0.3111,0.0001,BaSeL
113,113,7.956543,2.6892,2.2594,1.3466,0.7537,0.0366,-0.0081,-0.0024,0.0512,0.0917,0.291,0.1984,0.2248,0.2157,42.0593,0.057,0.1093,0.2956,0.0001,BaSeL
114,114,8.006552,2.752,2.2136,1.2502,0.6945,0.0116,-0.0086,-0.0059,0.056,0.1019,0.3105,0.2147,0.2419,0.2478,41.8133,0.0613,0.115,0.2815,0.0001,BaSeL
115,115,8.056561,2.8424,2.17,1.1537,0.634,-0.0207,-0.0092,-0.0098,0.062,0.1138,0.3349,0.2343,0.2629,0.2877,41.4907,0.0681,0.1242,0.2686,0.0001,BaSeL
116,116,8.106531,2.9722,2.1289,1.0631,0.573,-0.0659,-0.0101,-0.0147,0.0698,0.1291,0.3677,0.2599,0.2905,0.3408,41.0899,0.0795,0.139,0.2568,0.0001,BaSeL
117,117,8.156549,3.1713,2.1134,1.0135,0.5276,-0.1301,-0.0113,-0.0203,0.0798,0.1476,0.411,0.2922,0.3256,0.4102,40.8386,0.1006,0.1658,0.2514,0.0001,BaSeL
118,118,8.206556,3.2103,0.6039,0.9417,0.4781,-0.1526,-0.0135,-0.0248,0.1025,0.1872,0.4762,0.3491,0.3871,0.7038,41.179,0.1056,0.1706,0.0622,0.0001,BaSeL
119,119,8.25655,3.2416,0.7255,0.9166,0.4817,-0.1173,-0.0125,-0.02,0.0925,0.1687,0.4387,0.3195,0.3551,0.6375,41.1498,0.1048,0.1746,0.0691,0.0001,BaSeL
120,120,8.306554,3.2844,0.8729,0.8737,0.4714,-0.0923,-0.0117,-0.0171,0.0843,0.1541,0.4052,0.2945,0.3276,0.573,41.1677,0.106,0.1805,0.0787,0.0001,BaSeL
121,121,8.356543,3.342,1.0544,0.8042,0.4416,-0.0812,-0.0108,-0.0168,0.0787,0.1455,0.3788,0.2771,0.3076,0.5141,41.0543,0.11,0.1891,0.0924,0.0001,BaSeL
122,122,8.40654,3.4236,1.2864,0.7022,0.3872,-0.0859,-0.0102,-0.0197,0.0766,0.1447,0.3621,0.2699,0.2978,0.465,41.0251,0.1184,0.2026,0.1137,0.0001,BaSeL
123,123,8.456549,3.538,1.6118,0.6481,0.3586,-0.0962,-0.0101,-0.0219,0.0771,0.1475,0.3612,0.2719,0.2989,0.4153,40.9741,0.132,0.2238,0.1525,0.0001,BaSeL
124,124,8.506546,3.5875,1.6213,0.5622,0.3147,-0.1122,-0.0101,-0.0258,0.0807,0.1562,0.3702,0.2824,0.3092,0.4333,40.9308,0.1392,0.2327,0.1529,0.0001,BaSeL
125,125,8.556543,3.6566,1.5882,0.4884,0.2781,-0.1272,-0.0103,-0.0295,0.0848,0.1654,0.381,0.2939,0.3206,0.4569,40.9232,0.1484,0.2451,0.1466,0.0001,BaSeL
126,126,8.606543,3.7591,1.5824,0.4543,0.2622,-0.1345,-0.0104,-0.0317,0.0877,0.172,0.3869,0.3014,0.3278,0.4739,40.9104,0.1622,0.2662,0.144,0.0001,BaSeL
127,127,8.656549,3.8512,1.6963,0.3993,0.2408,-0.1438,-0.0102,-0.0338,0.0881,0.1741,0.3859,0.3024,0.3282,0.4708,40.8539,0.1759,0.2862,0.158,0.0001,BaSeL
