,index,log-age-yr,Vmag,Kmag,V-F220W,V-F250W,V-F330W,V-F410W,V-F435W,V-F475W,V-F555W,V-F606W,V-F625W,V-F775W,V-F814W,log Nly,Mt/Lb,Mt/Lv,Mt/Lk,Z,Library
680,20,6.040009,1.2575,1.9826,3.1399,2.6593,1.9661,0.6059,0.3754,0.1843,0.034,-0.0234,-0.1005,-0.2437,-0.3046,46.6475,0.016,0.0383,0.2999,0.008,BaSeL
681,21,6.060018,1.2575,1.9826,3.1399,2.6593,1.9661,0.6059,0.3754,0.1843,0.034,-0.0234,-0.1005,-0.2437,-0.3046,46.6475,0.016,0.0383,0.2999,0.008,BaSeL
682,22,6.080013,1.2575,1.9826,3.1399,2.6593,1.9661,0.6059,0.3754,0.1843,0.034,-0.0234,-0.1005,-0.2437,-0.3046,46.6475,0.016,0.0383,0.2999,0.008,BaSeL
683,23,6.099991,1.2575,1.9826,3.1399,2.6593,1.9661,0.6059,0.3754,0.1843,0.034,-0.0234,-0.1005,-0.2437,-0.3046,46.6475,0.016,0.0383,0.2999,0.008,BaSeL
684,24,6.120014,1.2575,1.9826,3.1399,2.6593,1.9661,0.6059,0.3754,0.1843,0.034,-0.0234,-0.1005,-0.2437,-0.3046,46.6475,0.016,0.0383,0.2999,0.008,BaSeL
685,25,6.140005,1.2575,1.9826,3.1399,2.6593,1.9661,0.6059,0.3754,0.1843,0.034,-0.0234,-0.1005,-0.2437,-0.3046,46.6475,0.016,0.0383,0.2999,0.008,BaSeL
686,26,6.159988,1.2575,1.9826,3.1399,2.6593,1.9661,0.6059,0.3754,0.1843,0.034,-0.0234,-0.1005,-0.2437,-0.3046,46.6475,0.016,0.0383,0.2999,0.008,BaSeL
687,27,6.180011,1.2575,1.9826,3.1399,2.6593,1.9661,0.6059,0.3754,0.1843,0.034,-0.0234,-0.1005,-0.2437,-0.3046,46.6475,0.016,0.0383,0.2999,0.008,BaSeL
688,28,6.200002,1.2575,1.9826,3.1399,2.6593,1.9661,0.6059,0.3754,0.1843,0.034,-0.0234,-0.1005,-0.2437,-0.3046,46.6475,0.016,0.0383,0.2999,0.008,BaSeL
689,29,6.220004,1.2575,1.9826,3.1399,2.6593,1.9661,0.6059,0.3754,0.1843,0.034,-0.0234,-0.1005,-0.2437,-0.3046,46.6475,0.016,0.0383,0.2999,0.008,BaSeL
690,30,6.24,1.2096,1.938,3.1584,2.6767,1.98,0.6137,0.3811,0.1876,0.0344,-0.024,-0.1025,-0.2477,-0.3087,46.6348,0.0152,0.0366,0.2876,0.008,BaSeL
691,31,6.26,1.1324,1.8666,3.1812,2.6983,1.9971,0.6229,0.388,0.1915,0.0348,-0.0248,-0.1052,-0.253,-0.3141,46.6193,0.0141,0.0341,0.2693,0.008,BaSeL
692,32,6.280009,1.0559,1.7965,3.193,2.7095,2.0061,0.6272,0.3912,0.1935,0.0352,-0.0254,-0.1072,-0.2564,-0.3177,46.609,0.0131,0.0317,0.2523,0.008,BaSeL
693,33,6.300008,0.9763,1.7238,3.1936,2.7105,2.0065,0.626,0.3905,0.1936,0.0355,-0.0258,-0.1086,-0.2582,-0.3195,46.5908,0.0122,0.0295,0.2356,0.008,BaSeL
694,34,6.320001,0.8882,1.6431,3.1975,2.7144,2.0096,0.6266,0.3908,0.194,0.0357,-0.0262,-0.1098,-0.2602,-0.3217,46.5984,0.0112,0.0271,0.2185,0.008,BaSeL
695,35,6.340008,0.8629,1.6192,3.1951,2.7127,2.0082,0.6256,0.3902,0.1938,0.0358,-0.0263,-0.1101,-0.2603,-0.3218,46.5943,0.0109,0.0265,0.2136,0.008,BaSeL
696,36,6.360006,0.7905,1.5516,3.1847,2.7047,2.0043,0.6244,0.3893,0.1934,0.0359,-0.0265,-0.1109,-0.2615,-0.323,46.5944,0.0102,0.0248,0.2006,0.008,BaSeL
697,37,6.379994,0.7286,1.492,3.1758,2.6983,2.0004,0.6225,0.3879,0.1927,0.036,-0.0265,-0.1109,-0.2612,-0.3226,46.5938,0.0097,0.0234,0.1898,0.008,BaSeL
698,38,6.400002,0.6798,1.4435,3.1641,2.6896,1.994,0.6194,0.3857,0.1916,0.036,-0.0263,-0.1104,-0.2599,-0.3212,46.5834,0.0092,0.0223,0.181,0.008,BaSeL
699,39,6.420005,0.658,1.4188,3.1421,2.672,1.9809,0.6134,0.3818,0.1896,0.0358,-0.026,-0.1095,-0.2573,-0.3183,46.5443,0.0091,0.0218,0.1765,0.008,BaSeL
700,40,6.439995,0.5683,1.329,3.1281,2.6608,1.972,0.6103,0.3799,0.1888,0.0357,-0.0259,-0.1089,-0.2558,-0.3167,46.5514,0.0083,0.02,0.1621,0.008,BaSeL
701,41,6.459995,0.4922,1.2508,3.1034,2.6412,1.9572,0.6043,0.3761,0.1869,0.0354,-0.0255,-0.1076,-0.2529,-0.3136,46.5318,0.0078,0.0186,0.1504,0.008,BaSeL
702,42,6.480007,0.413,1.1664,3.0729,2.617,1.9387,0.5967,0.3713,0.1845,0.0351,-0.0249,-0.1059,-0.2488,-0.3091,46.5049,0.0072,0.0173,0.1388,0.008,BaSeL
703,43,6.500003,0.265,0.9465,2.9679,2.5233,1.8599,0.5642,0.3485,0.1714,0.0328,-0.0208,-0.0934,-0.2201,-0.2739,46.5101,0.0064,0.015,0.1131,0.008,BaSeL
704,44,6.519999,0.222,0.874,2.9111,2.4765,1.8233,0.5482,0.3375,0.1654,0.032,-0.0193,-0.0888,-0.2092,-0.2611,46.5235,0.0062,0.0144,0.1055,0.008,BaSeL
705,45,6.540004,0.2059,0.8105,2.8564,2.4312,1.7871,0.5306,0.3248,0.1582,0.0309,-0.0174,-0.0829,-0.1949,-0.2438,46.4658,0.0061,0.0142,0.0993,0.008,BaSeL
706,46,6.560002,0.2336,0.7695,2.8291,2.4075,1.7652,0.5147,0.3125,0.1508,0.0298,-0.0153,-0.0765,-0.1782,-0.2232,46.3886,0.0063,0.0145,0.0954,0.008,BaSeL
707,47,6.580001,0.2837,0.7089,2.7918,2.3715,1.7303,0.4896,0.2926,0.1386,0.0278,-0.0115,-0.0653,-0.1505,-0.1888,46.32,0.0067,0.0151,0.0899,0.008,BaSeL
708,48,6.600003,0.3573,0.7954,2.8031,2.3856,1.7453,0.4983,0.2995,0.1429,0.0285,-0.0127,-0.0691,-0.1579,-0.1985,46.2264,0.0072,0.0162,0.0972,0.008,BaSeL
709,49,6.620001,0.3715,0.7523,2.7807,2.3659,1.7291,0.4901,0.2934,0.1391,0.0278,-0.0112,-0.0649,-0.1461,-0.1845,46.1508,0.0073,0.0163,0.093,0.008,BaSeL
710,50,6.640004,0.3834,0.698,2.7522,2.3393,1.7069,0.4798,0.2858,0.1345,0.027,-0.0093,-0.0598,-0.1319,-0.1677,46.1047,0.0073,0.0164,0.0881,0.008,BaSeL
711,51,6.660002,0.3846,0.6247,2.7048,2.2967,1.6731,0.4651,0.2752,0.1282,0.0259,-0.0069,-0.0531,-0.114,-0.1465,46.0518,0.0074,0.0164,0.082,0.008,BaSeL
712,52,6.68,0.3565,0.5196,2.6219,2.2233,1.6165,0.4444,0.2609,0.1202,0.0245,-0.0039,-0.0448,-0.0931,-0.122,45.9857,0.0072,0.0159,0.0741,0.008,BaSeL
713,53,6.700002,0.3337,0.5083,2.5342,2.1444,1.5532,0.425,0.2486,0.114,0.0236,-0.0027,-0.0408,-0.0868,-0.1134,45.9003,0.0071,0.0155,0.073,0.008,BaSeL
714,54,6.720002,0.2666,0.2704,2.3854,1.9953,1.4106,0.3572,0.1976,0.0831,0.0182,0.0063,-0.0143,-0.0251,-0.0348,45.7825,0.007,0.0145,0.0584,0.008,BaSeL
715,55,6.739999,0.1814,-0.0403,2.2007,1.8086,1.2336,0.2707,0.1314,0.0426,0.0113,0.0187,0.0209,0.0575,0.0652,45.7239,0.0068,0.0133,0.0437,0.008,BaSeL
716,56,6.76,0.1056,-0.3886,2.0203,1.6264,1.0629,0.1692,0.0511,-0.007,0.003,0.0345,0.0633,0.1587,0.1822,45.674,0.0067,0.0124,0.0316,0.008,BaSeL
717,57,6.78,0.0417,-0.7419,1.8525,1.457,0.9059,0.0461,-0.0486,-0.0682,-0.0067,0.0539,0.1131,0.2755,0.3131,45.5977,0.0069,0.0117,0.0228,0.008,BaSeL
718,58,6.800002,0.0307,-0.963,1.7598,1.3646,0.8222,-0.0639,-0.1396,-0.1233,-0.015,0.0704,0.1542,0.3694,0.4154,45.4716,0.0073,0.0115,0.0185,0.008,BaSeL
719,59,6.819998,0.0884,-1.0161,1.7534,1.3572,0.8104,-0.1051,-0.1753,-0.1455,-0.0184,0.0779,0.1719,0.4111,0.4619,45.306,0.0079,0.0121,0.0176,0.008,BaSeL
720,60,6.839999,0.1658,-0.9463,1.788,1.3968,0.8516,-0.0683,-0.1462,-0.129,-0.0162,0.0746,0.1631,0.3946,0.4452,45.2298,0.0083,0.013,0.0187,0.008,BaSeL
721,61,6.860003,0.2271,-0.9156,1.8033,1.4176,0.8758,-0.0446,-0.1274,-0.1184,-0.0148,0.0731,0.1585,0.3877,0.4392,45.157,0.0086,0.0137,0.0192,0.008,BaSeL
722,62,6.880002,0.2969,-0.8792,1.821,1.4409,0.9025,-0.0189,-0.1069,-0.1068,-0.0133,0.0715,0.1535,0.38,0.4327,45.0745,0.009,0.0145,0.0198,0.008,BaSeL
723,63,6.900001,0.3759,-0.8365,1.844,1.4694,0.9339,0.0098,-0.0841,-0.0938,-0.0115,0.0695,0.1476,0.371,0.425,44.9896,0.0095,0.0156,0.0205,0.008,BaSeL
724,64,6.919998,0.4656,-0.7864,1.8735,1.5045,0.9713,0.0421,-0.0585,-0.0791,-0.0095,0.0673,0.1406,0.3604,0.416,44.9083,0.01,0.0169,0.0214,0.008,BaSeL
725,65,6.939998,0.5669,-0.7278,1.9138,1.55,1.018,0.0795,-0.0289,-0.0621,-0.0072,0.0644,0.1322,0.3474,0.4046,44.8328,0.0107,0.0185,0.0225,0.008,BaSeL
726,66,6.96,0.6836,-0.6588,1.9647,1.6056,1.0735,0.1222,0.0048,-0.0424,-0.0044,0.061,0.1219,0.3316,0.391,44.7527,0.0116,0.0205,0.0239,0.008,BaSeL
727,67,6.979999,0.8296,-0.4689,2.05,1.6951,1.1607,0.1878,0.0576,-0.0101,0.0006,0.0517,0.0977,0.2817,0.3369,44.67,0.0126,0.0234,0.0284,0.008,BaSeL
728,68,7.0,1.0142,-0.3638,2.1555,1.7947,1.2434,0.2244,0.0846,0.0049,0.0026,0.0499,0.0913,0.2787,0.3381,44.5817,0.0146,0.0276,0.0312,0.008,BaSeL
729,69,7.019988,1.0669,-0.228,2.1585,1.8015,1.2541,0.2411,0.0999,0.0157,0.0046,0.0448,0.0791,0.2473,0.3007,44.4863,0.0151,0.0289,0.0353,0.008,BaSeL
730,70,7.040009,1.0991,-0.2022,2.1376,1.7848,1.2421,0.2375,0.0978,0.0148,0.0044,0.0451,0.0798,0.2493,0.3031,44.3883,0.0155,0.0297,0.036,0.008,BaSeL
731,71,7.060018,1.1343,-0.1739,2.1187,1.77,1.2317,0.2348,0.0964,0.0143,0.0043,0.0452,0.0802,0.2509,0.305,44.2937,0.016,0.0306,0.0368,0.008,BaSeL
732,72,7.080013,1.1737,-0.1431,2.1009,1.7564,1.2225,0.2328,0.0956,0.0141,0.0042,0.0453,0.0805,0.2523,0.3069,44.202,0.0165,0.0316,0.0377,0.008,BaSeL
733,73,7.099991,1.2173,-0.1094,2.0859,1.7453,1.2156,0.2319,0.0956,0.0144,0.0043,0.0453,0.0804,0.2532,0.3082,44.1151,0.0171,0.0328,0.0388,0.008,BaSeL
734,74,7.119981,1.2662,-0.0727,2.074,1.7371,1.2112,0.2323,0.0967,0.0153,0.0043,0.0452,0.0801,0.2537,0.3092,44.0289,0.0179,0.0342,0.04,0.008,BaSeL
735,75,7.140005,1.321,-0.0325,2.0676,1.7337,1.2107,0.2345,0.0991,0.0171,0.0046,0.045,0.0792,0.2536,0.3096,43.9471,0.0187,0.0358,0.0414,0.008,BaSeL
736,76,7.159988,1.3976,0.0939,2.0839,1.7517,1.2289,0.2486,0.1113,0.0254,0.006,0.0413,0.0703,0.232,0.284,43.8654,0.0198,0.0383,0.0463,0.008,BaSeL
737,77,7.180011,1.453,0.1168,2.0742,1.7435,1.2216,0.2411,0.1051,0.0213,0.0052,0.0433,0.0752,0.2442,0.2982,43.7858,0.0208,0.0402,0.0472,0.008,BaSeL
738,78,7.200002,1.4694,0.0915,2.0333,1.7066,1.1908,0.2246,0.0923,0.0133,0.0038,0.0466,0.0833,0.263,0.3202,43.7036,0.0213,0.0407,0.0459,0.008,BaSeL
739,79,7.220004,1.4878,0.0702,1.9915,1.6688,1.1593,0.2084,0.0798,0.0055,0.0024,0.0497,0.091,0.2808,0.341,43.6256,0.0218,0.0412,0.0449,0.008,BaSeL
740,80,7.24,1.5075,0.0529,1.9492,1.6305,1.1278,0.1929,0.0681,-0.0017,0.0011,0.0525,0.0981,0.2972,0.3601,43.5477,0.0223,0.0418,0.044,0.008,BaSeL
741,81,7.26,1.5319,0.0407,1.91,1.5948,1.0981,0.1784,0.0571,-0.0085,-0.0002,0.0553,0.105,0.3129,0.3786,43.4719,0.023,0.0426,0.0434,0.008,BaSeL
742,82,7.280009,1.5596,0.0334,1.8728,1.5607,1.0696,0.165,0.047,-0.0147,-0.0013,0.0579,0.1112,0.3275,0.3956,43.3986,0.0237,0.0436,0.0429,0.008,BaSeL
743,83,7.300008,1.5938,0.0483,1.8412,1.5318,1.0459,0.1556,0.0403,-0.0186,-0.002,0.0594,0.115,0.3357,0.4052,43.3258,0.0245,0.0448,0.0434,0.008,BaSeL
744,84,7.320001,1.6498,0.1111,1.8316,1.523,1.0383,0.153,0.0391,-0.019,-0.0021,0.0591,0.1147,0.3343,0.4034,43.2526,0.0257,0.047,0.0458,0.008,BaSeL
745,85,7.340008,1.6809,0.1316,1.807,1.5013,1.0212,0.1444,0.0328,-0.0226,-0.0028,0.0604,0.1178,0.3409,0.4107,43.1737,0.0265,0.0482,0.0465,0.008,BaSeL
746,86,7.360006,1.7031,0.1404,1.7723,1.4699,0.9956,0.1325,0.0241,-0.0277,-0.0036,0.0621,0.1221,0.3497,0.4206,43.0904,0.0272,0.0491,0.0468,0.008,BaSeL
747,87,7.379994,1.728,0.1526,1.7362,1.4373,0.9691,0.1205,0.0154,-0.0328,-0.0045,0.0637,0.1262,0.358,0.43,43.0019,0.0279,0.0501,0.0471,0.008,BaSeL
748,88,7.400002,1.7556,0.1687,1.699,1.4036,0.942,0.1086,0.007,-0.0376,-0.0053,0.0652,0.1301,0.3658,0.4387,42.9083,0.0287,0.0512,0.0477,0.008,BaSeL
749,89,7.420005,1.7862,0.1892,1.6608,1.369,0.9143,0.097,-0.0013,-0.0423,-0.0061,0.0666,0.1337,0.373,0.4467,42.8138,0.0296,0.0525,0.0485,0.008,BaSeL
750,90,7.439995,1.8193,0.2146,1.6239,1.3354,0.8874,0.0861,-0.0087,-0.0464,-0.0068,0.0678,0.1368,0.379,0.4533,42.719,0.0306,0.054,0.0495,0.008,BaSeL
751,91,7.462398,1.8595,0.2497,1.5852,1.3001,0.8593,0.0754,-0.0159,-0.0503,-0.0075,0.0688,0.1396,0.3839,0.4586,42.6183,0.0319,0.0558,0.0509,0.008,BaSeL
752,92,7.477121,1.888,0.2773,1.5617,1.2785,0.8422,0.0693,-0.0198,-0.0523,-0.0078,0.0693,0.1409,0.386,0.4608,42.5565,0.0327,0.0572,0.0521,0.008,BaSeL
753,93,7.491362,1.9177,0.3077,1.5403,1.2588,0.8267,0.0641,-0.023,-0.0538,-0.0081,0.0695,0.1418,0.3872,0.4618,42.4998,0.0336,0.0586,0.0535,0.008,BaSeL
754,94,7.50515,1.9486,0.3413,1.5217,1.2416,0.8131,0.0599,-0.0254,-0.0549,-0.0083,0.0696,0.1422,0.3873,0.4617,42.4477,0.0346,0.0602,0.055,0.008,BaSeL
755,95,7.518514,1.9873,0.4238,1.5173,1.2381,0.8123,0.0658,-0.0194,-0.0504,-0.0075,0.067,0.1365,0.3722,0.4435,42.4022,0.0356,0.0622,0.0593,0.008,BaSeL
756,96,7.531479,2.0325,0.4814,1.5213,1.2426,0.8174,0.07,-0.0155,-0.0476,-0.0071,0.0658,0.1338,0.3663,0.4366,42.3569,0.0369,0.0648,0.0624,0.008,BaSeL
757,97,7.544068,2.0623,0.5179,1.5161,1.2391,0.8165,0.0698,-0.0152,-0.0471,-0.007,0.0655,0.1331,0.3642,0.4339,42.3094,0.0378,0.0664,0.0644,0.008,BaSeL
758,98,7.556303,2.0732,0.5323,1.4957,1.2212,0.8033,0.0655,-0.0179,-0.0485,-0.0072,0.0657,0.1337,0.3648,0.4343,42.2629,0.0382,0.067,0.0651,0.008,BaSeL
759,99,7.568202,2.0846,0.5476,1.4757,1.2037,0.7906,0.0614,-0.0205,-0.0498,-0.0074,0.0658,0.1342,0.3652,0.4345,42.2154,0.0387,0.0676,0.0659,0.008,BaSeL
760,100,7.579783,2.0965,0.5639,1.4561,1.1866,0.7783,0.0576,-0.023,-0.051,-0.0076,0.066,0.1347,0.3653,0.4344,42.1672,0.0391,0.0683,0.0668,0.008,BaSeL
761,101,7.591064,2.1089,0.5812,1.4368,1.1697,0.7662,0.0539,-0.0253,-0.0521,-0.0078,0.066,0.135,0.3653,0.4341,42.118,0.0396,0.0689,0.0678,0.008,BaSeL
762,102,7.60206,2.1218,0.5994,1.4177,1.1532,0.7545,0.0504,-0.0274,-0.053,-0.0079,0.0661,0.1353,0.3651,0.4335,42.0681,0.04,0.0697,0.0689,0.008,BaSeL
763,103,7.628389,2.156,0.6494,1.3724,1.114,0.7272,0.0426,-0.0319,-0.0549,-0.0081,0.066,0.1355,0.3634,0.4308,41.9435,0.0413,0.0717,0.0719,0.008,BaSeL
764,104,7.653213,2.1918,0.7058,1.3343,1.0816,0.7056,0.0374,-0.0346,-0.0557,-0.0082,0.0655,0.1347,0.3596,0.4257,41.8212,0.0426,0.0738,0.0755,0.008,BaSeL
765,105,7.676693,2.2301,0.7693,1.3018,1.0543,0.6884,0.034,-0.0358,-0.0556,-0.0081,0.0646,0.1331,0.354,0.4182,41.7047,0.0441,0.0763,0.0798,0.008,BaSeL
766,106,7.69897,2.2714,0.8408,1.2749,1.032,0.6752,0.0323,-0.0356,-0.0547,-0.0079,0.0635,0.1307,0.3464,0.4086,41.6004,0.0456,0.079,0.085,0.008,BaSeL
767,107,7.72016,2.3161,0.9225,1.2563,1.0173,0.6679,0.0331,-0.0336,-0.0526,-0.0075,0.0619,0.1273,0.3364,0.3959,41.5095,0.0473,0.0821,0.0914,0.008,BaSeL
768,108,7.740363,2.3689,1.0194,1.2537,1.0178,0.6735,0.0401,-0.0269,-0.0476,-0.0067,0.0593,0.1215,0.3218,0.3782,41.4265,0.0492,0.086,0.0997,0.008,BaSeL
769,109,7.756545,2.3976,1.0639,1.2368,1.004,0.6655,0.038,-0.0276,-0.0475,-0.0066,0.0588,0.1205,0.3186,0.3738,41.358,0.0505,0.0881,0.1036,0.008,BaSeL
770,110,7.806546,2.4495,1.1499,1.1473,0.926,0.6116,0.0209,-0.038,-0.0521,-0.0072,0.0585,0.1208,0.3163,0.3697,41.1309,0.053,0.0918,0.1114,0.008,BaSeL
771,111,7.856548,2.522,1.2711,1.0691,0.8585,0.5667,0.0077,-0.0449,-0.0541,-0.0073,0.0572,0.1185,0.3082,0.3588,40.9061,0.0566,0.0975,0.1238,0.008,BaSeL
772,112,7.906545,2.5899,1.372,0.993,0.7932,0.524,-0.0068,-0.0534,-0.0574,-0.0077,0.0565,0.1178,0.3045,0.353,40.6755,0.0602,0.1031,0.135,0.008,BaSeL
773,113,7.956543,2.6391,1.4293,0.8878,0.7014,0.4615,-0.0315,-0.0701,-0.0659,-0.0089,0.0577,0.1216,0.3112,0.3592,40.4164,0.0633,0.107,0.1411,0.008,BaSeL
774,114,8.006552,2.7126,1.5133,0.8035,0.6293,0.4159,-0.0523,-0.0842,-0.073,-0.0098,0.0584,0.1242,0.3156,0.3624,40.1684,0.0679,0.1135,0.1511,0.008,BaSeL
775,115,8.056561,2.8054,1.6039,0.7426,0.5789,0.3876,-0.0698,-0.0965,-0.0793,-0.0107,0.0592,0.1266,0.3213,0.3673,39.9274,0.074,0.1226,0.1629,0.008,BaSeL
776,116,8.106531,2.8259,0.7293,0.6034,0.4561,0.3016,-0.1166,-0.1343,-0.1032,-0.0154,0.0708,0.1522,0.5116,0.6309,40.8178,0.0771,0.1238,0.0722,0.008,BaSeL
777,117,8.156549,2.8844,0.8458,0.4884,0.3581,0.241,-0.1439,-0.1545,-0.1144,-0.0169,0.0723,0.157,0.4978,0.606,40.9284,0.082,0.1296,0.0796,0.008,BaSeL
778,118,8.206556,2.9727,0.9934,0.3978,0.2828,0.1987,-0.1652,-0.1704,-0.1232,-0.018,0.0731,0.1601,0.4833,0.5808,40.8797,0.0893,0.1393,0.0904,0.008,BaSeL
779,119,8.25655,3.1001,1.1798,0.3553,0.2503,0.1864,-0.1758,-0.1787,-0.1282,-0.0188,0.0731,0.1613,0.4683,0.5552,40.9098,0.1002,0.1552,0.1064,0.008,BaSeL
780,120,8.306554,3.1923,1.383,0.2776,0.1842,0.1414,-0.1887,-0.186,-0.1313,-0.0192,0.073,0.162,0.4464,0.5217,40.8844,0.1087,0.1675,0.1271,0.008,BaSeL
781,121,8.356543,3.2426,1.3415,0.1365,0.0626,0.0582,-0.2262,-0.2134,-0.147,-0.0216,0.078,0.1739,0.4747,0.5546,40.8285,0.1157,0.1745,0.1217,0.008,BaSeL
782,122,8.40654,3.3065,1.3209,-0.0099,-0.0612,-0.0236,-0.2616,-0.2389,-0.1615,-0.024,0.0825,0.1846,0.5001,0.584,40.8097,0.1246,0.184,0.1187,0.008,BaSeL
783,123,8.456549,3.3863,1.3235,-0.1561,-0.1831,-0.1026,-0.2933,-0.2613,-0.174,-0.0261,0.0862,0.1936,0.5215,0.6087,40.7898,0.1358,0.1969,0.1184,0.008,BaSeL
784,124,8.506546,3.4881,1.354,-0.2786,-0.2816,-0.1635,-0.317,-0.2776,-0.1829,-0.0277,0.0887,0.2,0.537,0.6268,40.7648,0.1502,0.2151,0.1211,0.008,BaSeL
785,125,8.556543,3.6035,1.4033,-0.3623,-0.347,-0.2039,-0.3311,-0.2866,-0.1878,-0.0289,0.0905,0.2042,0.5477,0.6391,40.7313,0.1672,0.2379,0.126,0.008,BaSeL
786,126,8.606543,3.7128,1.4483,-0.4647,-0.4304,-0.261,-0.3586,-0.3055,-0.1984,-0.0308,0.0948,0.2139,0.566,0.6587,40.6915,0.1867,0.2616,0.1306,0.008,BaSeL
787,127,8.656549,3.7935,1.4552,-0.6078,-0.5406,-0.3219,-0.3978,-0.3349,-0.2153,-0.0335,0.0997,0.2255,0.5874,0.6813,40.6326,0.2048,0.2802,0.1306,0.008,BaSeL
788,128,8.706547,3.8722,1.3845,-0.749,-0.6462,-0.3776,-0.4404,-0.3674,-0.2341,-0.0364,0.1059,0.2394,0.6203,0.7191,40.612,0.2247,0.2993,0.1216,0.008,BaSeL
789,129,8.756545,3.9606,1.3388,-0.8656,-0.7279,-0.4151,-0.4701,-0.3903,-0.2473,-0.0384,0.11,0.2487,0.6429,0.7454,40.5869,0.2467,0.3224,0.1158,0.008,BaSeL
790,130,8.806546,4.0462,1.2994,-1.0111,-0.8275,-0.4596,-0.5103,-0.421,-0.2646,-0.0408,0.1153,0.2603,0.6676,0.7729,40.5559,0.2719,0.3465,0.1109,0.008,BaSeL
791,131,8.856547,4.1262,1.2402,-1.1873,-0.9464,-0.5132,-0.5625,-0.4606,-0.2865,-0.0437,0.1223,0.2751,0.6997,0.8089,40.5469,0.3004,0.3705,0.1043,0.008,BaSeL
792,132,8.90655,4.2176,1.3352,-1.3734,-1.0634,-0.5601,-0.6141,-0.4991,-0.3071,-0.046,0.1276,0.2866,0.7223,0.8328,40.5624,0.335,0.4003,0.1131,0.008,BaSeL
793,133,8.956548,4.3149,1.4462,-1.5489,-1.1646,-0.5965,-0.6639,-0.5362,-0.3266,-0.0479,0.1327,0.2974,0.7428,0.8541,40.5682,0.3751,0.4348,0.1244,0.008,BaSeL
794,134,9.006552,4.3995,1.5582,-1.7289,-1.2647,-0.634,-0.7209,-0.5799,-0.3503,-0.0504,0.1402,0.3125,0.7697,0.8824,40.5633,0.4174,0.4667,0.1369,0.008,BaSeL
795,135,9.056561,4.4298,1.6422,-1.9626,-1.4067,-0.7021,-0.803,-0.6415,-0.3839,-0.0541,0.1517,0.3358,0.8081,0.9226,40.5452,0.4483,0.4766,0.1469,0.008,BaSeL
796,136,9.106565,4.2986,1.5091,-2.3679,-1.7151,-0.9067,-0.9843,-0.7709,-0.4538,-0.0631,0.1799,0.3903,0.9103,1.0367,40.5102,0.438,0.4194,0.1291,0.008,BaSeL
797,137,9.156549,4.6768,1.686,-2.2939,-1.6131,-0.8202,-0.9361,-0.7437,-0.4416,-0.0626,0.1783,0.3859,0.9418,1.0809,40.6556,0.6035,0.5899,0.1508,0.008,BaSeL
798,138,9.206556,4.8459,2.0507,-2.4175,-1.6617,-0.8133,-0.9441,-0.7494,-0.4439,-0.062,0.1757,0.3822,0.9216,1.0553,40.5117,0.7022,0.6833,0.2092,0.008,BaSeL
799,139,9.225309,4.888,2.1274,-2.4855,-1.7005,-0.8283,-0.9603,-0.7608,-0.4497,-0.0626,0.1773,0.3855,0.9299,1.0652,40.5021,0.7343,0.708,0.2238,0.008,BaSeL
800,140,9.230449,4.8988,2.1496,-2.5069,-1.7135,-0.8341,-0.966,-0.7647,-0.4517,-0.0628,0.1779,0.3866,0.9324,1.0682,40.4993,0.7433,0.7145,0.2282,0.008,BaSeL
801,141,9.255273,4.9698,2.1599,-2.5734,-1.7525,-0.8536,-0.9863,-0.7799,-0.4603,-0.0641,0.182,0.3943,0.962,1.1054,40.517,0.8,0.7594,0.2293,0.008,BaSeL
802,142,9.278753,5.0859,2.2487,-2.5875,-1.7452,-0.8375,-0.9792,-0.7762,-0.4588,-0.0641,0.1817,0.3937,0.9752,1.1239,40.5064,0.8841,0.8415,0.2479,0.008,BaSeL
803,143,9.30103,5.1913,2.4441,-2.607,-1.7398,-0.8213,-0.971,-0.7706,-0.4557,-0.0634,0.1798,0.3903,0.9577,1.101,40.3745,0.9661,0.9236,0.2955,0.008,BaSeL
804,144,9.322219,5.2251,2.463,-2.6484,-1.7633,-0.8322,-0.9812,-0.7778,-0.4595,-0.064,0.1812,0.3929,0.9678,1.1134,40.3632,0.9987,0.9493,0.2996,0.008,BaSeL
805,145,9.342422,5.2571,2.4879,-2.6829,-1.7855,-0.8438,-0.9918,-0.785,-0.463,-0.0644,0.1823,0.3949,0.975,1.1222,40.3518,1.0306,0.9741,0.3054,0.008,BaSeL
806,146,9.361728,5.2915,2.5076,-2.784,-1.8451,-0.8727,-1.0188,-0.8034,-0.4722,-0.0655,0.1852,0.4007,0.9881,1.1373,40.3401,1.0757,1.0019,0.31,0.008,BaSeL
807,147,9.380211,5.3284,2.5314,-2.8626,-1.8954,-0.9,-1.0428,-0.8194,-0.48,-0.0664,0.1878,0.4056,0.9998,1.1508,40.3279,1.1232,1.0332,0.3158,0.008,BaSeL
808,148,9.39794,5.3621,2.5479,-2.9023,-1.9237,-0.917,-1.0559,-0.8279,-0.4843,-0.0669,0.1895,0.4089,1.0082,1.1608,40.4022,1.1627,1.0623,0.3196,0.008,BaSeL
809,149,9.414973,5.3949,2.578,-2.9332,-1.9418,-0.9262,-1.0638,-0.8331,-0.4869,-0.0672,0.1905,0.4107,1.0112,1.1641,40.4633,1.2007,1.0925,0.3278,0.008,BaSeL
